index,requestID,timestamp,servicename,partnername,sourcetype
mso,b7281fc8-94bc-4475-91c0-9287f1c06983,2021-03-28T21:02:49.977Z,onap/so/infra/serviceInstantiation/v7/serviceInstances/56b1cca1-d22e-4e62-8b00-5ca9b3a71947/vnfs/93946891-427a-4c2d-ae70-327a789daa15/vfModules,m32499@prod.mso.ecomp.att.com,domain2:audit
mso,b7281fc8-94bc-4475-91c0-9287f1c06983,2021-03-28T21:02:49.983Z,/infraActiveRequests/b7281fc8-94bc-4475-91c0-9287f1c06983,SO.BPMN,domain2:audit
aai,b7281fc8-94bc-4475-91c0-9287f1c06983,2021-03-28T21:02:53.028Z,/aai/v20/network/generic-vnfs,MSO-ACCESS-RESTRICTION,domain2:audit
aai,b7281fc8-94bc-4475-91c0-9287f1c06983,2021-03-28T21:02:53.611Z,/aai/v23/cloud-infrastructure/cloud-regions,SO.APIH,domain2:audit
mso,b7281fc8-94bc-4475-91c0-9287f1c06983,2021-03-28T21:02:49.977Z,onap/so/infra/serviceInstantiation/v7/serviceInstances/56b1cca1-d22e-4e62-8b00-5ca9b3a71947/vnfs/93946891-427a-4c2d-ae70-327a789daa15/vfModules,m32058@prod.lynkit.att.com,domain2:audit
mso,b7281fc8-94bc-4475-91c0-9287f1c06983,2021-03-28T21:02:53.870Z,/vfModuleCustomization/search/findFirstByModelCustomizationUUIDOrderByCreatedDesc,m320@prod.lynkit.att.com,domain2:audit
mso,b7281fc8-94bc-4475-91c0-9287f1c06983,2021-03-28T21:02:53.898Z,/vfModuleCustomization/43131/vfModule,lynkit.att.com,domain2:audit
mso,b7281fc8-94bc-4475-91c0-9287f1c06983,2021-03-28T21:02:53.917Z,/vnfComponentsRecipe/search/findFirstVnfComponentsRecipeByVfModuleModelUUIDAndVnfComponentTypeAndAction,lynkit,domain2:audit
mso,b7281fc8-94bc-4475-91c0-9287f1c06983,2021-03-28T21:02:53.931Z,/vfModule/search/findByModelInvariantUUIDOrderByModelVersionDesc,123lynkit,domain2:audit
mso,b7281fc8-94bc-4475-91c0-9287f1c06983,2021-03-28T21:02:53.953Z,/vnfComponentsRecipe/search/findFirstVnfComponentsRecipeByVfModuleModelUUIDAndVnfComponentTypeAndAction,vid.a,domain2:audit
mso,b7281fc8-94bc-4475-91c0-9287f1c06983,2021-03-28T21:02:53.980Z,/vfModule/4fe9efd3-9559-45d2-a5fa-23a2bdb2294e,vid.b,domain2:audit
mso,b7281fc8-94bc-4475-91c0-9287f1c06983,2021-03-28T21:02:53.995Z,/infraActiveRequests/,avid.c,domain2:audit
aai,b7281fc8-94bc-4475-91c0-9287f1c06983,2021-03-28T21:02:54.494Z,/aai/v23/nodes/vf-modules,sdncp,domain2:audit
mso,b7281fc8-94bc-4475-91c0-9287f1c06983,2021-03-28T21:02:54.730Z,/northbound_request_ref_lookup/search/findOneByActionAndRequestScopeAndIsAlacarteAndCloudOwnerAndServiceType,sdncp.asd,domain2:audit
mso,b7281fc8-94bc-4475-91c0-9287f1c06983,2021-03-28T21:02:54.745Z,/northbound_request_ref_lookup/5315/orchestrationFlowList,assdncp,domain2:audit
mso,b7281fc8-94bc-4475-91c0-9287f1c06983,2021-03-28T21:02:54.773Z,OpenstackAdapterInvoke,SO.OPENSTACK_ADAPTER,domain2:audit
mso,b7281fc8-94bc-4475-91c0-9287f1c06983,2021-03-28T21:02:54.805Z,/infraActiveRequests/b7281fc8-94bc-4475-91c0-9287f1c06983,SO.OPENSTACK_ADAPTER,domain2:audit
mso,b7281fc8-94bc-4475-91c0-9287f1c06983,2021-03-28T21:02:55.067Z,queues/v1/hst5c/items,m32499@prod.mso.ecomp.att.com,domain2:metrics
mso,b7281fc8-94bc-4475-91c0-9287f1c06983,2021-03-28T21:02:55.091Z,/infraActiveRequests/b7281fc8-94bc-4475-91c0-9287f1c06983,m32499@prod.mso.ecomp.att.com,domain2:metrics
mso,b7281fc8-94bc-4475-91c0-9287f1c06983,2021-03-28T21:02:55.114Z,onap/so/infra/serviceInstantiation/v7/serviceInstances/56b1cca1-d22e-4e62-8b00-5ca9b3a71947/vnfs/93946891-427a-4c2d-ae70-327a789daa15/vfModules,m32058@prod.lynkit.att.com,domain2:audit
mso,b7281fc8-94bc-4475-91c0-9287f1c06983,2021-03-28T21:02:57.454Z,/infraActiveRequests/b7281fc8-94bc-4475-91c0-9287f1c06983,m32508@prod.mso.ecomp.att.com,domain2:audit
mso,b7281fc8-94bc-4475-91c0-9287f1c06983,2021-03-28T21:02:57.473Z,/requestProcessingData/search/findOneBySoRequestIdAndName,m32508@prod.mso.ecomp.att.com,domain2:audit
aai,b7281fc8-94bc-4475-91c0-9287f1c06983,2021-03-28T21:02:57.797Z,/aai/v23/network/generic-vnfs,SO.BPMN,domain2:audit
aai,b7281fc8-94bc-4475-91c0-9287f1c06983,2021-03-28T21:02:57.797Z,/aai/v23/network/generic-vnfs,SO.BPMN,domain2:audit
aai,b7281fc8-94bc-4475-91c0-9287f1c06983,2021-03-28T21:02:57.797Z,/aai/v23/network/generic-vnfs,SO.BPMN,domain2:audit
mso,b7281fc8-94bc-4475-91c0-9287f1c06983,2021-03-28T21:02:58.965Z,/vnfResourceCustomization/search/findByModelCustomizationUUID,sdncp,domain2:audit
mso,b7281fc8-94bc-4475-91c0-9287f1c06983,2021-03-28T21:02:58.965Z,/vnfResourceCustomization/search/findByModelCustomizationUUID,sdncp,domain2:audit
mso,b7281fc8-94bc-4475-91c0-9287f1c06983,2021-03-28T21:02:58.965Z,/vnfResourceCustomization/search/findByModelCustomizationUUID,sdncp,domain2:audit
mso,b7281fc8-94bc-4475-91c0-9287f1c06983,2021-03-28T21:02:58.965Z,/vnfResourceCustomization/search/findByModelCustomizationUUID,sdncp,domain2:audit
sdncp,b7281fc8-94bc-4475-91c0-9287f1c06983,2021-03-28T21:03:02.613Z,/vnfResourceCustomization/19439/vnfResources,m32508@prod.mso.ecomp.att.com,domain2:audit
sdncp_120,b7281fc8-94bc-4475-91c0-9287f1c06983,2021-03-28T21:03:02.635Z,/vnfResourceCustomization/19439/vfModuleCustomizations,m32508@prod.mso.ecomp.att.com,domain2:audit
sdncp_180,b7281fc8-94bc-4475-91c0-9287f1c06983,2021-03-28T21:03:02.635Z,/vnfResourceCustomization/19439/vfModuleCustomizations,m32508@prod.mso.ecomp.att.com,domain2:audit
sdncp_180,b7281fc8-94bc-4475-91c0-9287f1c06983,2021-03-28T21:03:02.635Z,/vnfResourceCustomization/19439/vfModuleCustomizations,m32508@prod.mso.ecomp.att.com,domain2:audit
sdnf,b7281fc8-94bc-4475-91c0-9287f1c06983,2021-03-28T21:03:02.663Z,/vfModuleCustomization/43131/vfModule,m32508@prod.mso.ecomp.att.com,domain2:audit
sdnf,b7281fc8-94bc-4475-91c0-9287f1c06983,2021-03-28T21:03:05.244Z,/aai/v23/business/customers,SO.BPMN,domain2:audit
NARAD,b7281fc8-94bc-4475-91c0-9287f1c06983,2021-03-28T21:03:05.801Z,/buildingBlockDetail/search/findOneByBuildingBlockName,m32508@prod.mso.ecomp.att.com,domain2:audit
NARAD,b7281fc8-94bc-4475-91c0-9287f1c06983,2021-03-28T21:03:05.968Z,/aai/v23/network/generic-vnfs,SO.BPMN,domain2:audit
NARAD,b7281fc8-94bc-4475-91c0-9287f1c06983,2021-03-28T21:03:06.433Z,/restconf/operations/GENERIC-RESOURCE-API:vf-module-topology-operation/,m32508@prod.mso.ecomp.att.com,domain2:audit
NARAD,b7281fc8-94bc-4475-91c0-9287f1c06983,2021-03-28T21:03:12.687Z,/restconf/config/GENERIC-RESOURCE-API:services/service/56b1cca1-d22e-4e62-8b00-5ca9b3a71947/service-data/vnfs/vnf/93946891-427a-4c2d-ae70-327a789daa15/vnf-data/vf-modules/vf-module/afafba64-e36f-4f3c-a123-1faaae9b8198/,m18382@prod.sdncp.ecomp.att.com,domain2:audit
mso,b7281fc8-94bc-4475-91c0-9287f1c06983,2021-03-28T21:02:58.965Z,/vnfResourceCustomization/search/findByModelCustomizationUUID,sdnf*,domain2:audit
mso,b7281fc8-94bc-4475-91c0-9287f1c06983,2021-03-28T21:02:58.965Z,/vnfResourceCustomization/search/findByModelCustomizationUUID,sdnf*,domain2:audit
mso,b7281fc8-94bc-4475-91c0-9287f1c06983,2021-03-28T21:02:58.965Z,/vnfResourceCustomization/search/findByModelCustomizationUUID,sdncp,domain2:audit
